model	language	cultural	cue	(A) Answerable	(B) Unanswerable	Answerable %
qwen	korean	specific_ko	holiday	18	38	0.32142857142857145
qwen	korean	specific_zh	fashion	11	45	0.19642857142857142
qwen	chinese	specific_ko	music	13	43	0.23214285714285715
llama	english	specific_ko_code_switch	food	9	47	0.16071428571428573
qwen	chinese	agnostic	fashion	11	27	0.2894736842105263
qwen	korean	specific_en	holiday	11	47	0.1896551724137931
qwen	chinese	specific_ko	eduction	17	39	0.30357142857142855
llama	english	agnostic	statue	37	1	0.9736842105263158
llama	english	specific_zh_code_switch	connection	5	51	0.08928571428571429
llama	korean	specific_ko	nationality	46	10	0.8214285714285714
llama	english	specific_ko_code_switch	holiday	6	50	0.10714285714285714
llama	english	specific_en	exercise	55	3	0.9482758620689655
qwen	korean	specific_zh	nationality	11	45	0.19642857142857142
qwen	korean	specific_ko	food	21	35	0.375
llama	english	specific_en	statue	54	4	0.9310344827586207
llama	english	specific_ko	music	30	26	0.5357142857142857
qwen	korean	specific_ko	connection	22	34	0.39285714285714285
llama	korean	specific_en	connection	34	24	0.5862068965517241
llama	english	specific_zh_code_switch	exercise	10	46	0.17857142857142858
llama	chinese	specific_ko_code_switch	nationality	13	43	0.23214285714285715
llama	english	specific_zh_code_switch	show	8	48	0.14285714285714285
llama	korean	agnostic	exercise	37	1	0.9736842105263158
qwen	korean	specific_ko_code_switch	music	37	19	0.6607142857142857
llama	korean	specific_ko	music	54	2	0.9642857142857143
qwen	chinese	specific_zh	nationality	22	34	0.39285714285714285
qwen	english	specific_ko	exercise	8	48	0.14285714285714285
qwen	chinese	specific_en	statue	16	42	0.27586206896551724
llama	korean	specific_en	fashion	40	18	0.6896551724137931
qwen	chinese	agnostic	statue	14	24	0.3684210526315789
llama	korean	specific_zh_code_switch	exercise	25	31	0.44642857142857145
llama	english	specific_en	show	56	2	0.9655172413793104
qwen	korean	specific_zh_code_switch	statue	4	52	0.07142857142857142
qwen	english	specific_ko	food	11	45	0.19642857142857142
llama	korean	specific_zh_code_switch	fashion	21	35	0.375
qwen	korean	agnostic	nationality	6	32	0.15789473684210525
llama	chinese	specific_zh	statue	46	10	0.8214285714285714
qwen	english	specific_en	fashion	35	23	0.603448275862069
llama	english	specific_zh	holiday	17	39	0.30357142857142855
qwen	korean	specific_en	nationality	17	41	0.29310344827586204
qwen	english	specific_ko	connection	15	41	0.26785714285714285
qwen	chinese	specific_zh_code_switch	show	39	17	0.6964285714285714
llama	english	agnostic	nationality	37	1	0.9736842105263158
llama	english	specific_zh	food	29	27	0.5178571428571429
qwen	english	agnostic	fashion	13	25	0.34210526315789475
qwen	chinese	specific_ko_code_switch	statue	4	52	0.07142857142857142
qwen	korean	specific_ko	eduction	22	34	0.39285714285714285
llama	korean	specific_zh_code_switch	show	30	26	0.5357142857142857
llama	korean	specific_zh_code_switch	music	17	39	0.30357142857142855
qwen	chinese	specific_ko	exercise	11	45	0.19642857142857142
qwen	chinese	specific_ko	connection	21	35	0.375
qwen	chinese	agnostic	nationality	8	30	0.21052631578947367
qwen	korean	specific_en	connection	22	36	0.3793103448275862
qwen	korean	specific_ko	nationality	15	41	0.26785714285714285
llama	chinese	specific_ko	exercise	39	17	0.6964285714285714
llama	korean	specific_ko	holiday	49	7	0.875
qwen	korean	agnostic	food	8	30	0.21052631578947367
llama	chinese	specific_ko	eduction	41	15	0.7321428571428571
qwen	english	specific_en	exercise	34	24	0.5862068965517241
qwen	english	specific_zh	exercise	4	52	0.07142857142857142
qwen	korean	agnostic	show	8	30	0.21052631578947367
llama	english	specific_ko_code_switch	fashion	11	45	0.19642857142857142
qwen	korean	specific_zh_code_switch	nationality	9	47	0.16071428571428573
qwen	korean	specific_ko_code_switch	connection	37	19	0.6607142857142857
llama	english	specific_ko	connection	28	28	0.5
qwen	korean	specific_ko_code_switch	statue	34	22	0.6071428571428571
qwen	chinese	specific_zh	holiday	24	32	0.42857142857142855
llama	chinese	specific_ko	music	39	17	0.6964285714285714
llama	english	specific_ko_code_switch	statue	9	47	0.16071428571428573
qwen	korean	specific_zh	holiday	8	48	0.14285714285714285
qwen	chinese	specific_ko_code_switch	holiday	5	51	0.08928571428571429
llama	chinese	specific_ko_code_switch	music	17	39	0.30357142857142855
qwen	english	specific_zh_code_switch	exercise	3	53	0.05357142857142857
qwen	english	specific_en	eduction	37	21	0.6379310344827587
llama	korean	agnostic	connection	32	6	0.8421052631578947
llama	chinese	agnostic	eduction	38	0	1.0
llama	english	specific_zh	eduction	29	27	0.5178571428571429
llama	korean	specific_en	exercise	39	19	0.6724137931034483
llama	english	specific_zh	statue	22	34	0.39285714285714285
qwen	korean	specific_zh	food	12	44	0.21428571428571427
qwen	chinese	specific_zh_code_switch	eduction	33	23	0.5892857142857143
qwen	english	agnostic	holiday	15	23	0.39473684210526316
llama	korean	specific_zh_code_switch	eduction	30	26	0.5357142857142857
qwen	english	specific_zh_code_switch	holiday	3	53	0.05357142857142857
llama	english	specific_zh	connection	20	36	0.35714285714285715
llama	korean	specific_zh	nationality	20	36	0.35714285714285715
qwen	chinese	specific_en	food	14	44	0.2413793103448276
llama	chinese	specific_zh_code_switch	music	53	3	0.9464285714285714
qwen	english	agnostic	music	10	28	0.2631578947368421
qwen	english	specific_zh_code_switch	nationality	6	50	0.10714285714285714
qwen	chinese	specific_en	connection	23	35	0.39655172413793105
qwen	korean	agnostic	music	7	31	0.18421052631578946
llama	chinese	specific_en	statue	30	28	0.5172413793103449
qwen	chinese	specific_ko_code_switch	music	5	51	0.08928571428571429
qwen	chinese	agnostic	connection	17	21	0.4473684210526316
qwen	english	agnostic	exercise	12	26	0.3157894736842105
llama	korean	specific_en	statue	35	23	0.603448275862069
llama	korean	specific_ko	connection	49	7	0.875
qwen	english	specific_en	show	39	19	0.6724137931034483
llama	chinese	agnostic	exercise	31	7	0.8157894736842105
llama	english	agnostic	show	38	0	1.0
llama	english	specific_ko	show	38	18	0.6785714285714286
llama	korean	specific_en	holiday	31	27	0.5344827586206896
llama	chinese	specific_ko	nationality	28	28	0.5
llama	chinese	specific_en	show	35	23	0.603448275862069
llama	korean	specific_en	eduction	42	16	0.7241379310344828
qwen	korean	specific_en	exercise	12	46	0.20689655172413793
llama	chinese	specific_zh_code_switch	statue	53	3	0.9464285714285714
qwen	chinese	specific_ko_code_switch	exercise	5	51	0.08928571428571429
qwen	chinese	specific_zh_code_switch	food	30	26	0.5357142857142857
qwen	english	specific_zh_code_switch	connection	9	47	0.16071428571428573
qwen	english	specific_en	statue	31	27	0.5344827586206896
llama	korean	agnostic	statue	32	6	0.8421052631578947
llama	korean	specific_zh	show	34	22	0.6071428571428571
qwen	english	specific_ko_code_switch	connection	2	54	0.03571428571428571
qwen	chinese	specific_ko_code_switch	nationality	5	51	0.08928571428571429
llama	chinese	specific_ko	food	35	21	0.625
llama	english	specific_en	holiday	54	4	0.9310344827586207
llama	english	specific_ko_code_switch	music	7	49	0.125
llama	english	agnostic	connection	37	1	0.9736842105263158
qwen	english	specific_en	music	32	26	0.5517241379310345
llama	chinese	agnostic	food	35	3	0.9210526315789473
llama	chinese	specific_ko_code_switch	eduction	33	23	0.5892857142857143
llama	chinese	agnostic	statue	34	4	0.8947368421052632
qwen	english	specific_ko_code_switch	exercise	1	55	0.017857142857142856
qwen	english	agnostic	nationality	21	17	0.5526315789473685
qwen	chinese	specific_ko	nationality	12	44	0.21428571428571427
llama	chinese	agnostic	holiday	32	6	0.8421052631578947
qwen	korean	agnostic	eduction	12	26	0.3157894736842105
llama	korean	specific_en	nationality	36	22	0.6206896551724138
qwen	korean	specific_ko_code_switch	nationality	33	23	0.5892857142857143
llama	chinese	specific_zh	eduction	49	7	0.875
qwen	chinese	specific_ko_code_switch	food	4	52	0.07142857142857142
qwen	chinese	specific_zh_code_switch	nationality	32	24	0.5714285714285714
qwen	chinese	specific_ko	food	11	45	0.19642857142857142
llama	english	specific_ko	nationality	29	27	0.5178571428571429
llama	korean	agnostic	eduction	37	1	0.9736842105263158
qwen	english	specific_zh	holiday	7	49	0.125
qwen	korean	agnostic	statue	8	30	0.21052631578947367
qwen	korean	specific_zh_code_switch	holiday	5	51	0.08928571428571429
llama	korean	specific_zh	holiday	20	36	0.35714285714285715
qwen	chinese	specific_ko	show	16	40	0.2857142857142857
qwen	korean	specific_ko	statue	18	38	0.32142857142857145
qwen	english	specific_zh	statue	4	52	0.07142857142857142
llama	korean	specific_zh	exercise	26	30	0.4642857142857143
qwen	korean	specific_ko_code_switch	eduction	37	19	0.6607142857142857
llama	chinese	specific_zh_code_switch	holiday	48	8	0.8571428571428571
llama	chinese	specific_zh	music	46	10	0.8214285714285714
qwen	english	specific_ko_code_switch	music	2	54	0.03571428571428571
llama	english	specific_ko	exercise	35	21	0.625
llama	korean	agnostic	show	38	0	1.0
llama	chinese	specific_zh_code_switch	exercise	49	7	0.875
llama	english	agnostic	music	37	1	0.9736842105263158
qwen	english	specific_ko_code_switch	fashion	1	55	0.017857142857142856
qwen	chinese	specific_en	eduction	23	35	0.39655172413793105
llama	chinese	specific_zh_code_switch	show	53	3	0.9464285714285714
llama	english	specific_zh_code_switch	food	11	45	0.19642857142857142
llama	chinese	specific_ko	statue	34	22	0.6071428571428571
qwen	chinese	specific_zh	music	28	28	0.5
llama	korean	specific_ko	eduction	53	3	0.9464285714285714
llama	english	specific_zh	fashion	29	27	0.5178571428571429
llama	korean	specific_zh	statue	24	32	0.42857142857142855
qwen	english	specific_zh_code_switch	food	4	52	0.07142857142857142
qwen	korean	agnostic	exercise	7	31	0.18421052631578946
qwen	english	specific_zh_code_switch	show	4	52	0.07142857142857142
llama	korean	specific_zh	music	23	33	0.4107142857142857
qwen	chinese	specific_zh_code_switch	music	34	22	0.6071428571428571
llama	english	specific_ko_code_switch	exercise	11	45	0.19642857142857142
qwen	english	specific_zh	connection	15	41	0.26785714285714285
qwen	chinese	specific_zh	statue	18	38	0.32142857142857145
qwen	chinese	specific_en	music	18	40	0.3103448275862069
llama	korean	specific_zh_code_switch	nationality	16	40	0.2857142857142857
qwen	korean	specific_zh_code_switch	food	8	48	0.14285714285714285
llama	korean	specific_ko_code_switch	exercise	56	0	1.0
qwen	english	specific_ko	nationality	13	43	0.23214285714285715
llama	english	agnostic	fashion	37	1	0.9736842105263158
llama	chinese	specific_zh_code_switch	fashion	48	8	0.8571428571428571
qwen	korean	specific_ko_code_switch	exercise	31	25	0.5535714285714286
llama	korean	specific_zh	eduction	32	24	0.5714285714285714
llama	english	specific_ko	fashion	35	21	0.625
qwen	english	specific_zh_code_switch	statue	2	54	0.03571428571428571
llama	chinese	specific_ko	holiday	27	29	0.48214285714285715
qwen	korean	agnostic	fashion	9	29	0.23684210526315788
llama	chinese	specific_ko	connection	34	22	0.6071428571428571
llama	chinese	specific_ko	fashion	36	20	0.6428571428571429
llama	korean	specific_zh_code_switch	statue	22	34	0.39285714285714285
llama	chinese	specific_zh	show	49	7	0.875
qwen	chinese	specific_zh	show	30	26	0.5357142857142857
llama	english	agnostic	food	37	1	0.9736842105263158
llama	chinese	specific_zh_code_switch	food	51	5	0.9107142857142857
qwen	korean	specific_zh	exercise	6	50	0.10714285714285714
llama	chinese	specific_en	nationality	27	31	0.46551724137931033
llama	english	specific_zh_code_switch	statue	7	49	0.125
llama	chinese	specific_zh_code_switch	nationality	50	6	0.8928571428571429
llama	chinese	specific_en	eduction	41	17	0.7068965517241379
llama	chinese	agnostic	nationality	33	5	0.868421052631579
qwen	chinese	specific_ko	holiday	15	41	0.26785714285714285
qwen	english	specific_ko	fashion	11	45	0.19642857142857142
llama	english	agnostic	exercise	37	1	0.9736842105263158
qwen	english	specific_ko_code_switch	food	1	55	0.017857142857142856
llama	korean	specific_ko	show	55	1	0.9821428571428571
llama	korean	specific_ko_code_switch	food	56	0	1.0
qwen	korean	agnostic	connection	9	29	0.23684210526315788
llama	korean	specific_ko_code_switch	holiday	55	1	0.9821428571428571
qwen	chinese	specific_en	exercise	11	47	0.1896551724137931
qwen	chinese	specific_zh_code_switch	statue	27	29	0.48214285714285715
qwen	english	specific_en	connection	47	11	0.8103448275862069
llama	korean	specific_zh_code_switch	holiday	14	42	0.25
qwen	korean	specific_zh_code_switch	music	9	47	0.16071428571428573
llama	chinese	specific_zh	connection	43	13	0.7678571428571429
qwen	korean	specific_zh	statue	8	48	0.14285714285714285
llama	chinese	agnostic	connection	34	4	0.8947368421052632
llama	chinese	specific_en	holiday	23	35	0.39655172413793105
llama	korean	specific_ko_code_switch	fashion	56	0	1.0
llama	english	specific_en	food	56	2	0.9655172413793104
llama	english	specific_zh	exercise	25	31	0.44642857142857145
qwen	korean	specific_ko_code_switch	show	37	19	0.6607142857142857
qwen	chinese	specific_zh_code_switch	holiday	33	23	0.5892857142857143
llama	english	specific_zh_code_switch	holiday	4	52	0.07142857142857142
llama	chinese	specific_en	exercise	29	29	0.5
qwen	korean	specific_ko	fashion	19	37	0.3392857142857143
qwen	chinese	specific_en	nationality	17	41	0.29310344827586204
qwen	korean	specific_zh_code_switch	connection	9	47	0.16071428571428573
llama	english	specific_zh	music	16	40	0.2857142857142857
llama	korean	specific_ko	food	53	3	0.9464285714285714
llama	chinese	specific_en	fashion	28	30	0.4827586206896552
qwen	chinese	specific_ko_code_switch	connection	7	49	0.125
qwen	chinese	specific_zh_code_switch	fashion	29	27	0.5178571428571429
llama	english	specific_ko	holiday	31	25	0.5535714285714286
llama	korean	specific_ko	exercise	54	2	0.9642857142857143
llama	korean	specific_en	food	37	21	0.6379310344827587
qwen	chinese	specific_en	holiday	18	40	0.3103448275862069
llama	english	specific_ko_code_switch	nationality	9	47	0.16071428571428573
llama	korean	specific_en	show	45	13	0.7758620689655172
qwen	chinese	specific_zh_code_switch	connection	39	17	0.6964285714285714
llama	english	specific_ko	eduction	35	21	0.625
llama	english	specific_ko	food	35	21	0.625
llama	english	specific_en	fashion	56	1	0.9824561403508771
llama	english	specific_ko	statue	28	28	0.5
qwen	korean	specific_en	statue	15	43	0.25862068965517243
qwen	korean	specific_en	fashion	14	44	0.2413793103448276
qwen	chinese	specific_zh_code_switch	exercise	22	34	0.39285714285714285
qwen	chinese	specific_ko_code_switch	show	7	49	0.125
llama	english	specific_zh	show	31	25	0.5535714285714286
qwen	english	specific_ko	music	8	48	0.14285714285714285
qwen	korean	specific_zh	show	12	44	0.21428571428571427
qwen	english	specific_ko_code_switch	nationality	2	54	0.03571428571428571
llama	korean	agnostic	holiday	31	7	0.8157894736842105
llama	korean	specific_zh	connection	20	36	0.35714285714285715
qwen	english	specific_ko_code_switch	holiday	1	55	0.017857142857142856
qwen	english	specific_ko_code_switch	statue	1	55	0.017857142857142856
llama	korean	agnostic	nationality	32	6	0.8421052631578947
qwen	english	specific_en	holiday	32	26	0.5517241379310345
llama	korean	specific_ko_code_switch	nationality	55	1	0.9821428571428571
qwen	korean	specific_en	food	15	43	0.25862068965517243
qwen	chinese	agnostic	show	17	21	0.4473684210526316
llama	chinese	specific_zh_code_switch	connection	51	5	0.9107142857142857
llama	chinese	specific_zh	holiday	43	13	0.7678571428571429
qwen	chinese	specific_en	show	24	34	0.41379310344827586
llama	chinese	specific_ko_code_switch	fashion	14	42	0.25
qwen	korean	specific_en	music	12	46	0.20689655172413793
qwen	korean	agnostic	holiday	8	30	0.21052631578947367
qwen	english	specific_zh	nationality	12	44	0.21428571428571427
qwen	chinese	agnostic	holiday	13	25	0.34210526315789475
qwen	korean	specific_zh_code_switch	show	8	48	0.14285714285714285
llama	korean	specific_ko	fashion	54	2	0.9642857142857143
qwen	english	specific_ko	statue	8	48	0.14285714285714285
qwen	chinese	specific_ko_code_switch	fashion	6	50	0.10714285714285714
llama	chinese	agnostic	show	37	1	0.9736842105263158
qwen	english	specific_zh_code_switch	eduction	4	52	0.07142857142857142
qwen	english	agnostic	food	17	21	0.4473684210526316
llama	english	specific_zh_code_switch	fashion	10	46	0.17857142857142858
llama	korean	specific_ko_code_switch	statue	55	1	0.9821428571428571
llama	chinese	specific_en	food	32	26	0.5517241379310345
qwen	korean	specific_en	show	15	43	0.25862068965517243
qwen	english	specific_zh	food	5	51	0.08928571428571429
llama	english	specific_zh_code_switch	eduction	13	43	0.23214285714285715
qwen	english	specific_en	nationality	41	17	0.7068965517241379
qwen	chinese	agnostic	music	9	29	0.23684210526315788
qwen	english	specific_ko	holiday	12	44	0.21428571428571427
llama	korean	agnostic	music	37	1	0.9736842105263158
llama	chinese	specific_en	connection	28	30	0.4827586206896552
qwen	english	agnostic	show	15	23	0.39473684210526316
llama	chinese	specific_ko_code_switch	statue	16	40	0.2857142857142857
qwen	chinese	specific_zh	connection	36	20	0.6428571428571429
llama	chinese	specific_zh	fashion	42	14	0.75
qwen	korean	specific_zh_code_switch	exercise	3	53	0.05357142857142857
qwen	english	specific_ko_code_switch	show	2	54	0.03571428571428571
llama	english	agnostic	holiday	37	1	0.9736842105263158
qwen	english	agnostic	eduction	16	22	0.42105263157894735
qwen	korean	specific_ko_code_switch	food	35	21	0.625
llama	chinese	specific_ko_code_switch	holiday	8	48	0.14285714285714285
llama	korean	specific_zh	food	31	25	0.5535714285714286
llama	korean	agnostic	fashion	37	1	0.9736842105263158
qwen	korean	specific_zh	music	12	44	0.21428571428571427
qwen	chinese	specific_zh	fashion	24	32	0.42857142857142855
qwen	english	agnostic	statue	11	27	0.2894736842105263
llama	chinese	specific_zh	nationality	41	15	0.7321428571428571
llama	chinese	specific_ko_code_switch	connection	13	43	0.23214285714285715
llama	chinese	agnostic	fashion	31	7	0.8157894736842105
llama	korean	specific_ko	statue	50	6	0.8928571428571429
llama	chinese	specific_ko	show	40	16	0.7142857142857143
llama	english	specific_ko_code_switch	eduction	10	46	0.17857142857142858
qwen	chinese	specific_ko	statue	16	40	0.2857142857142857
llama	chinese	specific_ko_code_switch	exercise	23	33	0.4107142857142857
llama	chinese	specific_en	music	36	22	0.6206896551724138
llama	korean	specific_ko_code_switch	connection	55	1	0.9821428571428571
llama	english	specific_zh	nationality	20	36	0.35714285714285715
qwen	chinese	agnostic	eduction	22	16	0.5789473684210527
llama	english	specific_zh_code_switch	music	4	52	0.07142857142857142
llama	chinese	specific_ko_code_switch	show	26	30	0.4642857142857143
qwen	korean	specific_ko_code_switch	holiday	31	25	0.5535714285714286
qwen	english	specific_zh	fashion	5	51	0.08928571428571429
qwen	korean	specific_zh_code_switch	fashion	9	47	0.16071428571428573
llama	chinese	agnostic	music	36	2	0.9473684210526315
llama	korean	specific_ko_code_switch	eduction	56	0	1.0
qwen	english	specific_zh_code_switch	music	3	53	0.05357142857142857
qwen	chinese	specific_zh	food	20	36	0.35714285714285715
llama	korean	specific_ko_code_switch	music	56	0	1.0
qwen	chinese	specific_zh	exercise	16	40	0.2857142857142857
qwen	english	specific_zh_code_switch	fashion	3	53	0.05357142857142857
llama	english	specific_en	music	52	6	0.896551724137931
qwen	english	specific_ko_code_switch	eduction	1	55	0.017857142857142856
qwen	english	specific_ko	eduction	12	44	0.21428571428571427
qwen	chinese	specific_zh	eduction	25	31	0.44642857142857145
llama	korean	specific_zh_code_switch	connection	18	38	0.32142857142857145
qwen	korean	specific_ko	music	20	36	0.35714285714285715
qwen	chinese	specific_ko	fashion	12	44	0.21428571428571427
qwen	chinese	specific_en	fashion	18	40	0.3103448275862069
qwen	korean	specific_ko	show	19	37	0.3392857142857143
llama	korean	specific_ko_code_switch	show	56	0	1.0
qwen	korean	specific_ko_code_switch	fashion	37	19	0.6607142857142857
llama	chinese	specific_zh_code_switch	eduction	54	2	0.9642857142857143
llama	chinese	specific_ko_code_switch	food	15	41	0.26785714285714285
llama	korean	specific_zh_code_switch	food	27	29	0.48214285714285715
llama	korean	agnostic	food	36	2	0.9473684210526315
qwen	english	specific_zh	music	7	49	0.125
qwen	korean	specific_zh	eduction	12	44	0.21428571428571427
llama	english	agnostic	eduction	37	1	0.9736842105263158
llama	english	specific_en	eduction	56	2	0.9655172413793104
qwen	chinese	agnostic	food	12	26	0.3157894736842105
llama	english	specific_en	nationality	56	2	0.9655172413793104
qwen	english	specific_ko	show	10	46	0.17857142857142858
qwen	english	specific_zh	show	7	49	0.125
llama	chinese	specific_zh	exercise	42	14	0.75
qwen	korean	specific_en	eduction	22	36	0.3793103448275862
qwen	english	specific_zh	eduction	7	49	0.125
qwen	english	agnostic	connection	25	13	0.6578947368421053
qwen	korean	specific_zh_code_switch	eduction	8	48	0.14285714285714285
llama	korean	specific_zh	fashion	26	30	0.4642857142857143
qwen	korean	specific_zh	connection	14	42	0.25
qwen	chinese	specific_ko_code_switch	eduction	5	51	0.08928571428571429
llama	english	specific_en	connection	57	1	0.9827586206896551
llama	english	specific_ko_code_switch	connection	6	50	0.10714285714285714
llama	korean	specific_en	music	40	18	0.6896551724137931
qwen	korean	specific_ko	exercise	15	41	0.26785714285714285
qwen	chinese	agnostic	exercise	7	31	0.18421052631578946
llama	english	specific_ko_code_switch	show	10	46	0.17857142857142858
qwen	english	specific_en	food	36	22	0.6206896551724138
llama	chinese	specific_zh	food	45	11	0.8035714285714286
llama	english	specific_zh_code_switch	nationality	6	50	0.10714285714285714
